accuracy,loss,val_accuracy,val_loss
0.8849292993545532,0.31564897298812866,0.7233244180679321,0.7031800746917725
0.9631822109222412,0.11347609013319016,0.9787864089012146,0.07617855817079544
0.9758328199386597,0.07396527379751205,0.8394781351089478,0.4707484543323517
0.9811038970947266,0.05793168023228645,0.9660347700119019,0.14760857820510864
0.9856493473052979,0.045169468969106674,0.9846396446228027,0.058845583349466324
0.9888207912445068,0.035467371344566345,0.9755188822746277,0.09986086189746857
0.9901396036148071,0.031623683869838715,0.9856630563735962,0.03899205103516579
0.9912450909614563,0.027758458629250526,0.9912935495376587,0.03589681535959244
0.99242103099823,0.024873364716768265,0.985952615737915,0.06306834518909454
0.9933668971061707,0.022257016971707344,0.9994967579841614,0.0016679194523021579
0.9940308928489685,0.01997537910938263,1.0,4.090038419235498e-05
0.9954252243041992,0.01584167778491974,0.9085855484008789,0.27373597025871277
0.995175302028656,0.016216030344367027,0.9806419014930725,0.06174606457352638
0.9952409267425537,0.016461195424199104,0.9671140909194946,0.10317918658256531
0.9961380958557129,0.013294526375830173,0.9962349534034729,0.01252726186066866
0.9964848756790161,0.012586481869220734,0.9612902998924255,0.10766231268644333
0.9961562752723694,0.012999186292290688,0.9830795526504517,0.05340546742081642
0.9968227744102478,0.011228074319660664,0.9846921563148499,0.05400978773832321
0.9965128302574158,0.011823732405900955,0.9991079568862915,0.004027200397104025
0.9971852898597717,0.009994179010391235,0.994140625,0.023723827674984932
0.9975125789642334,0.009121714159846306,0.9838771820068359,0.05940071493387222
0.9970924854278564,0.01027736347168684,0.9973404407501221,0.00649947440251708
0.9970958232879639,0.010015544481575489,0.9989275932312012,0.005255927797406912
0.9977051019668579,0.008456604555249214,1.0,0.002273986116051674
0.9975841641426086,0.008355515077710152,0.9931934475898743,0.022211240604519844
0.9978927373886108,0.007921794429421425,0.998420238494873,0.0031240202952176332
0.9978305697441101,0.007788584101945162,0.9996061325073242,0.004785554017871618
0.9981700778007507,0.006689409725368023,0.9920170307159424,0.023973219096660614
0.9979049563407898,0.007545385975390673,1.0,5.264287756290287e-05
0.9981452822685242,0.006579985376447439,0.9983416199684143,0.0055846283212304115
0.9982425570487976,0.006332695949822664,0.9973661303520203,0.013419685885310173
0.9982808232307434,0.006313687190413475,1.0,8.456444447801914e-06
0.9981331825256348,0.006651668343693018,1.0,2.060258310621066e-07
0.9982675313949585,0.00625220499932766,0.9907349944114685,0.021242449060082436
0.9983857274055481,0.005962554831057787,0.9735099077224731,0.0764399915933609
0.998436689376831,0.005900743417441845,0.9976509809494019,0.00882311724126339
0.9984617233276367,0.005663442425429821,0.9969879388809204,0.011806701309978962
