loss,accuracy,val_loss,val_accuracy
0.3181506395339966,0.8878037929534912,0.3091803193092346,0.903856635093689
0.1252879798412323,0.9579869508743286,0.2407495379447937,0.9261428713798523
0.0855754092335701,0.9721329808235168,0.15683874487876892,0.9549312591552734
0.06591128557920456,0.9784131646156311,0.17324575781822205,0.9478334188461304
0.05404653400182724,0.9823017120361328,0.18953315913677216,0.9403384923934937
0.04634077101945877,0.9847782850265503,0.09677305817604065,0.9753313064575195
0.04045770317316055,0.9866117238998413,0.11405699700117111,0.9688290953636169
0.035782456398010254,0.988526463508606,0.0968506708741188,0.9767211079597473
0.0317440964281559,0.9896907806396484,0.09489449113607407,0.9771678447723389
0.02985013835132122,0.9904929399490356,0.2033356875181198,0.9394450783729553
0.027006736025214195,0.9915353059768677,0.10531293600797653,0.9754306077957153
0.024191739037632942,0.99223393201828,0.10253310948610306,0.9769196510314941
0.023189010098576546,0.992644190788269,0.14365443587303162,0.9634684920310974
0.021296506747603416,0.9932467341423035,0.10883823782205582,0.9760262370109558
0.020310936495661736,0.9935091733932495,0.08935992419719696,0.9838189482688904
0.019771859049797058,0.9939009547233582,0.11792299896478653,0.9735444188117981
0.01741151139140129,0.9945441484451294,0.11085733026266098,0.9763736724853516
0.017074963077902794,0.9947955012321472,0.09063271433115005,0.9839678406715393
0.015949036926031113,0.9950764179229736,0.08596255630254745,0.9851590991020203
0.015235280618071556,0.995257556438446,0.10821714252233505,0.9801955819129944
0.015196866355836391,0.9952390789985657,0.1017082929611206,0.9808904528617859
0.01418369635939598,0.9955717325210571,0.10165237635374069,0.9804437160491943
0.01299997791647911,0.9960707426071167,0.09678211063146591,0.9839181900024414
0.013463539071381092,0.9959931373596191,0.13565975427627563,0.9681342244148254
0.012463022954761982,0.9960892200469971,0.10791382938623428,0.9822802543640137
0.012086410075426102,0.9961631298065186,0.09843128174543381,0.9851590991020203
0.01140569243580103,0.9964293241500854,0.11246518790721893,0.979451060295105
0.010733203031122684,0.9967213273048401,0.11652553081512451,0.9776145219802856
